Duration of class (min),Heart Rate (bpm),HR Rest,60% THR (bpm),70% THR (bpm),80% THR (bpm),90% THR (bpm),HR Max (bpm),,,,,,,,,
0:06:40,132,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:41,131,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:42,130,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:43,129,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:44,129,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:45,130,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:46,130,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:47,131,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:48,132,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:49,133,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:50,134,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:51,135,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:52,136,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:53,136,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:54,136,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:55,136,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:56,137,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:57,138,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:58,139,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:59,140,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:07:00,141,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:07:01,143,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:07:02,144,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:07:03,146,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:07:04,147,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:07:05,148,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:07:06,148,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:07:07,148,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:07:08,148,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:07:09,148,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:07:10,152,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:07:11,152,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:07:12,148,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:07:13,148,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
